Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1690.234086238532
FDW14,OUT017,1412.156205042017
NCN55,OUT010,584.7577647727275
FDQ58,OUT017,2649.1102324324333
FDY38,OUT027,6280.890880000001
FDH56,OUT046,1922.1493817142857
FDL48,OUT018,713.8586545454551
FDC48,OUT027,2517.882088484848
FDN33,OUT045,1559.342975268817
FDA36,OUT017,2752.9709346534646
FDT44,OUT017,1922.1493817142857
FDQ56,OUT045,1412.156205042017
NCC54,OUT019,584.7577647727275
FDU11,OUT049,2142.7435709401716
DRL59,OUT013,713.8586545454551
FDM24,OUT049,2286.4132673684203
FDI57,OUT045,3130.0049049504946
DRC12,OUT018,2893.83982589928
NCM42,OUT027,3242.062071532848
FDA46,OUT010,482.69954262295084
FDA31,OUT013,2851.6316958762905
NCJ31,OUT035,3737.2957751824815
FDG52,OUT046,798.2176035398228
NCL19,OUT019,281.48208181818165
FDS10,OUT035,3384.1080642424236
FDX22,OUT010,584.7577647727275
NCF19,OUT035,798.2176035398228
NCE06,OUT046,2503.501336448598
DRC27,OUT046,4109.900606217617
FDE21,OUT035,1922.1493817142857
NCR42,OUT019,92.67548155339807
FDX51,OUT018,2893.83982589928
NCR06,OUT018,507.04640366972484
FDU31,OUT027,5329.314724444443
FDU59,OUT017,2503.501336448598
FDR03,OUT027,5329.314724444443
FDS49,OUT027,2517.882088484848
FDD48,OUT010,281.48208181818165
NCF18,OUT017,2939.3484761904765
NCD43,OUT027,2517.882088484848
NCD54,OUT018,1752.2524400000002
FDY19,OUT010,281.48208181818165
NCY54,OUT017,2851.6316958762905
NCL19,OUT018,2232.84702184874
FDP23,OUT010,584.7577647727275
FDC26,OUT013,1511.8747716981143
FDR14,OUT010,165.91858165137612
NCS41,OUT035,3384.1080642424236
FDF41,OUT035,3737.2957751824815
FDU34,OUT046,1987.2510486486485
DRH11,OUT046,842.2509434554978
FDM03,OUT013,1511.8747716981143
FDS31,OUT017,3384.1080642424236
FDJ20,OUT017,2142.7435709401716
FDV44,OUT027,5329.314724444443
FDG02,OUT049,2752.9709346534646
FDA09,OUT013,2851.6316958762905
FDT04,OUT013,507.04640366972484
FDL58,OUT019,584.7577647727275
FDE52,OUT045,1353.0650169014084
FDW12,OUT035,2286.4132673684203
FDL51,OUT017,3753.0000993630583
NCY42,OUT027,3242.062071532848
FDR07,OUT017,1559.342975268817
FDN40,OUT045,2286.4132673684203
FDB35,OUT027,2517.882088484848
FDA22,OUT017,2286.4132673684203
NCL06,OUT046,4034.300306896552
FDI35,OUT013,3384.1080642424236
NCW42,OUT045,3753.0000993630583
NCX06,OUT049,2568.33283364486
FDC37,OUT027,2517.882088484848
FDZ14,OUT018,1752.2524400000002
DRG49,OUT049,3454.0625591549283
NCG06,OUT045,4034.300306896552
DRC36,OUT045,2851.6316958762905
FDV21,OUT019,281.48208181818165
FDB53,OUT046,2660.950403030302
DRP47,OUT019,584.7577647727275
FDA14,OUT013,2660.950403030302
DRC24,OUT035,2660.950403030302
FDW21,OUT018,1372.688490740741
NCH29,OUT046,1559.342975268817
FDU58,OUT013,2893.83982589928
FDY27,OUT017,2851.6316958762905
FDV56,OUT035,1784.4287381818176
FDT59,OUT046,4109.900606217617
FDB23,OUT046,3753.0000993630583
FDR49,OUT045,798.2176035398228
FDB03,OUT010,584.7577647727275
FDN39,OUT045,2453.7477006993004
FDX02,OUT027,5329.314724444443
FDQ16,OUT027,2517.882088484848
FDU35,OUT018,1372.688490740741
NCT29,OUT013,1987.2510486486485
FDZ27,OUT046,798.2176035398228
FDN57,OUT017,2309.2007980000003
FDA03,OUT018,2232.84702184874
FDZ36,OUT045,3384.1080642424236
NCU05,OUT013,1240.3673076086952
FDT39,OUT018,2232.84702184874
FDK60,OUT017,1559.342975268817
FDZ25,OUT017,2894.220710714286
FDG12,OUT046,2243.669596721311
DRB01,OUT019,482.69954262295084
NCC43,OUT027,6280.890880000001
FDX13,OUT019,584.7577647727275
FDM22,OUT049,842.2509434554978
FDJ03,OUT027,1378.2631852760744
FDU14,OUT018,3327.952582926828
FDB33,OUT010,346.8972837209303
FDP27,OUT046,3391.591252727273
FDO38,OUT010,165.91858165137612
FDE28,OUT027,6280.890880000001
FDO27,OUT035,1559.342975268817
DRL23,OUT027,2517.882088484848
FDS28,OUT046,842.2509434554978
FDX24,OUT013,1460.7407669724769
FDZ02,OUT035,1559.342975268817
FDL46,OUT045,1827.8328454545451
FDS60,OUT027,5329.314724444443
NCO06,OUT017,583.8145788617885
FDO16,OUT035,1412.156205042017
FDC60,OUT049,1412.156205042017
FDA48,OUT018,3327.952582926828
FDZ36,OUT027,5329.314724444443
FDK27,OUT045,1827.8328454545451
FDW23,OUT018,507.04640366972484
FDM14,OUT018,1372.688490740741
FDM14,OUT013,1690.234086238532
FDW60,OUT018,2851.6316958762905
FDE21,OUT013,1922.1493817142857
NCM42,OUT035,1879.0540499999997
FDY59,OUT010,219.2185209302326
DRI49,OUT049,1240.3673076086952
FDT28,OUT019,346.8972837209303
FDQ22,OUT018,507.04640366972484
FDR60,OUT049,1240.3673076086952
FDC50,OUT019,219.2185209302326
FDV24,OUT013,2503.501336448598
DRF48,OUT010,482.69954262295084
FDQ47,OUT046,583.8145788617885
DRN36,OUT049,1559.342975268817
NCY06,OUT035,1987.2510486486485
FDE52,OUT035,1353.0650169014084
NCB54,OUT045,1827.8328454545451
NCF31,OUT035,2286.4132673684203
FDJ08,OUT027,5329.314724444443
NCC07,OUT017,1690.234086238532
NCD19,OUT027,1378.2631852760744
FDL46,OUT049,1987.2510486486485
FDM20,OUT045,4109.900606217617
NCI06,OUT010,425.9355914529917
DRM11,OUT035,4433.304032653059
NCH07,OUT018,2232.84702184874
FDS23,OUT013,2142.7435709401716
FDO49,OUT018,713.8586545454551
FDS35,OUT049,1103.1862133333323
DRK39,OUT045,1412.156205042017
DRI39,OUT049,842.2509434554978
FDV04,OUT017,2503.501336448598
NCN14,OUT035,3384.1080642424236
FDH08,OUT013,4109.900606217617
FDS20,OUT046,3384.1080642424236
FDV40,OUT049,1103.1862133333323
FDZ48,OUT010,281.48208181818165
FDS24,OUT027,2517.882088484848
FDK44,OUT049,2568.33283364486
FDS48,OUT045,2660.950403030302
FDK26,OUT010,482.69954262295084
FDD23,OUT045,3391.591252727273
NCH54,OUT017,2894.220710714286
NCP14,OUT010,219.2185209302326
