Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1843.20431253349
FDW14,OUT017,1572.001968895714
NCN55,OUT010,1874.930174443664
FDQ58,OUT017,2589.3449457537945
FDY38,OUT027,5184.444851604171
FDH56,OUT046,1926.136548562638
FDL48,OUT018,596.8944773870091
FDC48,OUT027,2782.194929843342
FDN33,OUT045,1514.3086370262242
FDA36,OUT017,3087.813440929733
FDT44,OUT017,1994.1862181957345
FDQ56,OUT045,1315.2852034971454
NCC54,OUT019,1857.3370529573654
FDU11,OUT049,2059.0588851575535
DRL59,OUT013,891.012023368568
FDM24,OUT049,2558.915561277808
FDI57,OUT045,3082.4485610488414
DRC12,OUT018,2759.919397374581
NCM42,OUT027,3197.0469931848284
FDA46,OUT010,1135.154518142305
FDA31,OUT013,2807.394768969424
NCJ31,OUT035,3879.771080963346
FDG52,OUT046,802.1469507410952
NCL19,OUT019,362.56812511810404
FDS10,OUT035,3018.617591538875
FDX22,OUT010,1460.2863959647755
NCF19,OUT035,923.4073570734129
NCE06,OUT046,2541.2793739941617
DRC27,OUT046,3850.6721101943667
FDE21,OUT035,2026.5764912052732
NCR42,OUT019,1361.214409628905
FDX51,OUT018,2868.9127383999794
NCR06,OUT018,428.1033200077561
FDU31,OUT027,4948.241872170293
FDU59,OUT017,2716.1654789138734
FDR03,OUT027,4754.888614297056
FDS49,OUT027,2757.801920254189
FDD48,OUT010,71.25216727070745
NCF18,OUT017,3116.4093814782445
NCD43,OUT027,3101.755070707882
NCD54,OUT018,1988.913499810882
FDY19,OUT010,39.90510224179366
NCY54,OUT017,2819.8244913494395
NCL19,OUT018,2018.0262051926447
FDP23,OUT010,1534.367917907958
FDC26,OUT013,1824.811297050101
FDR14,OUT010,1028.9675147475668
NCS41,OUT035,3029.8888196881585
FDF41,OUT035,4050.8584631042986
FDU34,OUT046,1997.7742300593122
DRH11,OUT046,932.8665100597439
FDM03,OUT013,1738.6044871555273
