Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1568.0804790452742
FDW14,OUT017,1453.8437140306505
NCN55,OUT010,572.8262950121456
FDQ58,OUT017,2507.279386578235
FDY38,OUT027,5818.113271676836
FDH56,OUT046,1923.9046588670476
FDL48,OUT018,738.2722001054935
FDC48,OUT027,2133.0791243750737
FDN33,OUT045,1532.7758260017313
FDA36,OUT017,3060.1595214675476
FDT44,OUT017,1947.7954107587238
FDQ56,OUT045,1431.4159055877922
NCC54,OUT019,572.6416989922059
FDU11,OUT049,2019.452374288513
DRL59,OUT013,827.5339237366165
FDM24,OUT049,2474.7752542285916
FDI57,OUT045,3084.9189804129683
DRC12,OUT018,3058.139056798834
NCM42,OUT027,2918.40487101444
FDA46,OUT010,508.13466090120363
FDA31,OUT013,2854.9450766938508
NCJ31,OUT035,3877.7229079744475
FDG52,OUT046,745.2147741710967
NCL19,OUT019,287.305397422688
FDS10,OUT035,3008.111729480024
FDX22,OUT010,567.7470333030652
NCF19,OUT035,742.7807007503704
NCE06,OUT046,2560.44282620138
DRC27,OUT046,3898.012395644641
FDE21,OUT035,1918.2720642402016
NCR42,OUT019,130.61766722026377
FDX51,OUT018,3058.139056798834
NCR06,OUT018,664.6406122605804
FDU31,OUT027,5818.986128803134
FDU59,OUT017,2562.399041509649
FDR03,OUT027,5818.986128803134
FDS49,OUT027,2052.7362370074425
FDD48,OUT010,269.3940756675
NCF18,OUT017,3060.1595214675476
NCD43,OUT027,2866.4825104890942
NCD54,OUT018,2142.9249323465024
FDY19,OUT010,269.98023812098666
NCY54,OUT017,2854.9450766938508
NCL19,OUT018,2460.7379730947005
FDP23,OUT010,568.2126701328403
FDC26,OUT013,1700.7902139618518
FDR14,OUT010,130.61766722026377
NCS41,OUT035,3060.1595214675476
FDF41,OUT035,3912.9018815761865
FDU34,OUT046,2028.065471146167
DRH11,OUT046,960.1168344181926
FDM03,OUT013,1568.0804790452742
FDS31,OUT017,3012.210921878474
FDJ20,OUT017,2019.452374288513
FDV44,OUT027,5224.113538196679
FDG02,OUT049,3060.1595214675476
FDA09,OUT013,2981.855185955678
FDT04,OUT013,709.5214616052031
FDL58,OUT019,572.6416989922059
FDE52,OUT045,1488.8894762883983
FDW12,OUT035,2463.2735140302116
FDL51,OUT017,3688.2451159430425
NCY42,OUT027,3023.4411317671397
FDR07,OUT017,1537.6201784917998
FDN40,OUT045,2493.43222955346
FDB35,OUT027,2696.790266734585
FDA22,OUT017,2562.399041509649
NCL06,OUT046,4083.384137167331
FDI35,OUT013,3014.303362875387
NCW42,OUT045,3761.4429505965854
NCX06,OUT049,2990.0887383468275
FDC37,OUT027,2904.1119637340594
FDZ14,OUT018,2019.452374288513
DRG49,OUT049,3896.2065285604326
