Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1720.318993835229
FDW14,OUT017,1525.8271847922013
NCN55,OUT010,662.376394015293
FDQ58,OUT017,2388.6018277765193
FDY38,OUT027,5551.549746902394
FDH56,OUT046,2081.3711416757233
FDL48,OUT018,890.4007067228475
FDC48,OUT027,2202.7088546579216
FDN33,OUT045,1451.4587133698449
FDA36,OUT017,3120.1016719493805
FDT44,OUT017,1852.1579362925338
FDQ56,OUT045,1418.4390561757787
NCC54,OUT019,627.0134808528729
FDU11,OUT049,1956.7632773916316
DRL59,OUT013,1274.5620645125782
FDM24,OUT049,2441.2924761631557
FDI57,OUT045,2593.9252988189855
DRC12,OUT018,2963.6411001350834
NCM42,OUT027,2977.369731672379
FDA46,OUT010,451.55736920976864
FDA31,OUT013,3028.654990251465
NCJ31,OUT035,3306.523400535421
FDG52,OUT046,1004.1190479887437
NCL19,OUT019,354.4825025382053
FDS10,OUT035,3288.4587768996225
FDX22,OUT010,586.1797102324848
NCF19,OUT035,1304.3780705360593
NCE06,OUT046,2467.9460454499745
DRC27,OUT046,3140.282569482418
FDE21,OUT035,2092.3239225425873
NCR42,OUT019,154.80688810939444
FDX51,OUT018,2580.562872841429
NCR06,OUT018,1158.9686714556667
FDU31,OUT027,5807.183364925414
FDU59,OUT017,2380.090755571378
FDR03,OUT027,5150.352885102712
FDS49,OUT027,2229.0978566485733
FDD48,OUT010,259.2419478948242
NCF18,OUT017,2652.9827208820116
NCD43,OUT027,2754.398988976287
NCD54,OUT018,2059.3525743932855
FDY19,OUT010,232.6319874801573
NCY54,OUT017,2724.168623654704
NCL19,OUT018,2021.1595905942092
FDP23,OUT010,526.3191643372215
FDC26,OUT013,1700.5969442799217
FDR14,OUT010,249.53140054632308
NCS41,OUT035,3249.1369999579
FDF41,OUT035,3676.657115085212
FDU34,OUT046,1737.1881575998023
DRH11,OUT046,1306.5430160959327
FDM03,OUT013,1730.891221740766
FDS31,OUT017,3268.2962241116034
FDJ20,OUT017,2193.1888731432887
FDV44,OUT027,4497.79744692355
FDG02,OUT049,2684.810894261756
FDA09,OUT013,3286.602424069481
FDT04,OUT013,985.3556912079231
FDL58,OUT019,565.7308034263227
FDE52,OUT045,1642.4453625038639
FDW12,OUT035,2484.9075469880913
FDL51,OUT017,3022.3286006227786
NCY42,OUT027,3306.6303890957
