Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1577.2383668966497
FDW14,OUT017,1336.3688581199976
NCN55,OUT010,647.66407981432
FDQ58,OUT017,2414.5283734425825
FDY38,OUT027,5953.401927345072
FDH56,OUT046,1848.9282106732326
FDL48,OUT018,655.6668378712036
FDC48,OUT027,1877.2388507380806
FDN33,OUT045,1499.1794879719869
FDA36,OUT017,3013.5484169187653
FDT44,OUT017,1927.204065771444
FDQ56,OUT045,1531.452561682216
NCC54,OUT019,631.1861892936196
FDU11,OUT049,1994.47682246929
DRL59,OUT013,807.3686227321546
FDM24,OUT049,2300.527459930542
FDI57,OUT045,2945.2536672720507
DRC12,OUT018,3057.2216646583197
NCM42,OUT027,3276.35450764223
FDA46,OUT010,453.4653749530269
FDA31,OUT013,2733.1626359973748
NCJ31,OUT035,3826.270300116658
FDG52,OUT046,730.1063907648345
NCL19,OUT019,383.92322517878347
FDS10,OUT035,3117.891256700103
FDX22,OUT010,554.0833849193406
NCF19,OUT035,742.6680327424006
NCE06,OUT046,2317.9838679672253
DRC27,OUT046,3926.7260985630273
FDE21,OUT035,2109.910856362765
NCR42,OUT019,66.48812638801644
FDX51,OUT018,2853.1321571958083
NCR06,OUT018,330.76192614070504
FDU31,OUT027,5532.712821671115
FDU59,OUT017,2283.1423832110727
FDR03,OUT027,5243.595905613288
FDS49,OUT027,1915.6657846293174
FDD48,OUT010,262.41526139885065
NCF18,OUT017,3118.0708073751975
NCD43,OUT027,2282.6104699166126
NCD54,OUT018,1847.2968958903352
FDY19,OUT010,244.42868223313857
NCY54,OUT017,2699.3637894132944
NCL19,OUT018,2301.7760046057847
FDP23,OUT010,417.6622501487146
FDC26,OUT013,1708.6589670575463
FDR14,OUT010,175.31616870269735
NCS41,OUT035,3253.772654267638
FDF41,OUT035,3867.46837100546
FDU34,OUT046,2058.6190880024137
DRH11,OUT046,905.5029152252417
FDM03,OUT013,1682.8142932156643
FDS31,OUT017,3199.3793516272763
FDJ20,OUT017,1968.9941440391653
FDV44,OUT027,4437.090364962609
FDG02,OUT049,3080.5294438815527
FDA09,OUT013,3121.5421349264875
FDT04,OUT013,625.6333078351964
FDL58,OUT019,586.8030385674667
FDE52,OUT045,1363.1041670497311
FDW12,OUT035,2699.800063050223
FDL51,OUT017,3615.7359450530853
NCY42,OUT027,3072.2843842809048
FDR07,OUT017,1575.6447666902145
FDN40,OUT045,2228.390727331792
FDB35,OUT027,2503.168160974464
FDA22,OUT017,2345.5617533283785
NCL06,OUT046,4391.2242015752245
FDI35,OUT013,3194.5250298601154
NCW42,OUT045,3772.744037926482
NCX06,OUT049,3080.588184945361
FDC37,OUT027,2521.7748921527354
FDZ14,OUT018,1778.6415008405645
DRG49,OUT049,4221.247489112758
NCG06,OUT045,3959.2462641549437
DRC36,OUT045,2811.895948633505
FDV21,OUT019,400.40088973382984
FDB53,OUT046,2811.165381289049
DRP47,OUT019,655.5804744791574
FDA14,OUT013,2483.069633992223
DRC24,OUT035,2495.65515510176
FDW21,OUT018,1550.3347196727536
NCH29,OUT046,1723.3959007409126
FDU58,OUT013,3217.6403176041854
FDY27,OUT017,2706.9045706311153
FDV56,OUT035,1741.5011144386572
FDT59,OUT046,4034.234726393728
FDB23,OUT046,3401.580622998299
FDR49,OUT045,815.4425780668088
FDB03,OUT010,567.0878915596411
FDN39,OUT045,2543.687361862026
FDX02,OUT027,5570.667945767823
FDQ16,OUT027,2575.310104871333
FDU35,OUT018,1498.8583932215045
NCT29,OUT013,2005.3772164966267
FDZ27,OUT046,745.1897388007524
FDN57,OUT017,2071.8048591271613
FDA03,OUT018,2216.6141663069625
FDZ36,OUT045,3189.8218018903017
NCU05,OUT013,1273.8530295583694
FDT39,OUT018,2305.5337027436644
FDK60,OUT017,1620.2161838591223
FDZ25,OUT017,2935.929242521863
FDG12,OUT046,2334.0814251466973
DRB01,OUT019,474.5314953332805
NCC43,OUT027,6210.0682726883315
FDX13,OUT019,546.956141592614
FDM22,OUT049,827.7519705381553
FDJ03,OUT027,1525.7174919358042
FDU14,OUT018,3514.861293517941
FDB33,OUT010,397.05379881422704
FDP27,OUT046,3236.5251249444964
FDO38,OUT010,150.4194449026088
FDE28,OUT027,6296.5844708336135
FDO27,OUT035,1567.7629708971501
DRL23,OUT027,2300.3069607895804
FDS28,OUT046,836.0454576062638
FDX24,OUT013,1424.8921227503631
FDZ02,OUT035,1531.1307426066296
FDL46,OUT045,1687.1983112535088
FDS60,OUT027,4694.1453242501375
NCO06,OUT017,534.3149598767957
FDO16,OUT035,1757.2703313370894
FDC60,OUT049,1530.8032386237405
FDA48,OUT018,3783.901556039337
FDZ36,OUT027,5388.206693904204
FDK27,OUT045,1940.23020022763
FDW23,OUT018,383.0207576563214
FDM14,OUT018,1429.6226472216795
FDM14,OUT013,1589.7067844758965
FDW60,OUT018,2755.3716319998885
FDE21,OUT013,2021.7474995734217
NCM42,OUT035,1815.721899237916
FDY59,OUT010,184.55207207510276
DRI49,OUT049,1321.6957331736367
FDT28,OUT019,271.02694021947775
FDQ22,OUT018,376.258152342396
FDR60,OUT049,1300.2815799719206
FDC50,OUT019,253.43453649187416
FDV24,OUT013,2238.2664876480117
DRF48,OUT010,465.778200106253
FDQ47,OUT046,641.0223505777208
DRN36,OUT049,1530.2689978863432
NCY06,OUT035,2048.5458710300836
FDE52,OUT035,1363.3107925521101
NCB54,OUT045,1814.6366176331667
NCF31,OUT035,2411.169850192814
FDJ08,OUT027,4654.995604675441
NCC07,OUT017,1628.1174474407048
NCD19,OUT027,1485.56896733629
FDL46,OUT049,1876.0961706681655
FDM20,OUT045,4076.191701473553
NCI06,OUT010,423.7919502417402
DRM11,OUT035,4560.268297411943
NCH07,OUT018,2361.308538097976
FDS23,OUT013,2169.1513890084043
FDO49,OUT018,679.3353811744687
FDS35,OUT049,1020.3063251547603
DRK39,OUT045,1348.4478309408642
DRI39,OUT049,863.9729698707398
FDV04,OUT017,2299.130382569813
NCN14,OUT035,3165.233813825908
FDH08,OUT013,4071.9100530023397
FDS20,OUT046,3388.1151698216204
FDV40,OUT049,1020.2413014746047
FDZ48,OUT010,214.06881185563026
FDS24,OUT027,2267.3195005332436
FDK44,OUT049,2698.5048957221607
FDS48,OUT045,2593.6102108862246
FDK26,OUT010,529.7269876084052
FDD23,OUT045,3101.9872651885803
NCH54,OUT017,2692.7225233524573
NCP14,OUT010,220.57642156669684
FDM60,OUT010,65.56993687618662
FDV24,OUT017,2282.3635753700505
FDH08,OUT018,3251.541872786801
FDS12,OUT027,3091.6350562890125
FDR39,OUT027,4899.11923049811
FDP12,OUT027,923.2289236543415
DRF60,OUT027,5749.668179533
FDC09,OUT035,1752.1067935640351
FDF50,OUT018,3070.1177294999056
FDG28,OUT035,4018.5886037495684
NCE19,OUT017,846.0145749455352
NCM53,OUT010,243.7389800396462
NCN18,OUT049,1724.8001849881327
FDF32,OUT035,3091.9441270050247
FDF11,OUT013,4165.488507632449
DRI59,OUT049,3973.241798518796
NCG54,OUT035,2803.4655969426076
FDM44,OUT046,1647.383000244591
FDT57,OUT018,3023.545277309076
FDV24,OUT046,2214.1035059168994
FDI50,OUT019,551.293492934755
FDS09,OUT035,747.0192385809652
NCC31,OUT027,4157.898415247876
FDQ07,OUT019,522.7457081202099
FDC22,OUT017,3208.494622438545
FDZ56,OUT046,2889.9616469900157
FDZ40,OUT019,168.20077351622035
FDS46,OUT027,2509.0620802051394
DRD24,OUT045,2016.4967969633262
FDV45,OUT017,3195.5004043718445
FDL26,OUT045,2690.372659246155
FDA56,OUT018,1776.9280126489439
FDN27,OUT046,1910.0019867044332
FDM20,OUT049,4142.881681364013
FDO16,OUT017,1745.7517398075754
FDL03,OUT035,3105.248669590254
FDE58,OUT046,1929.8704701155436
FDI02,OUT027,3625.580274455596
NCC55,OUT019,64.52711648078845
FDR03,OUT018,3106.473669027354
FDB14,OUT017,1514.2146309217942
FDR45,OUT013,4117.366098337099
NCN07,OUT017,2107.586768612962
FDM51,OUT019,257.7420676586522
FDT52,OUT027,6637.030344231508
FDL26,OUT046,2629.4583135036437
NCZ42,OUT046,3752.144890176655
DRI47,OUT019,410.5777054725697
FDW40,OUT013,2288.861560296741
FDN34,OUT046,2885.0813419187575
FDS01,OUT035,3110.4744264246133
NCG55,OUT045,1887.5349649225143
FDC11,OUT035,1339.4685352651206
FDX35,OUT018,3031.1235895836703
NCB06,OUT046,2623.146171488099
FDR09,OUT019,582.6843941370723
FDC53,OUT017,1574.702904122014
FDY45,OUT013,4332.149381009955
FDA22,OUT010,392.85074949732115
FDE02,OUT035,1573.472703131001
FDW21,OUT045,1669.1514530638535
FDV34,OUT046,1209.76394115136
FDS59,OUT049,1806.467771775586
NCW17,OUT017,2309.359054284964
NCK54,OUT046,2014.53534531496
FDG17,OUT019,539.3633426079232
FDG35,OUT017,3044.561896942736
FDD08,OUT010,72.18053472193311
NCO07,OUT017,3861.3701894572005
FDJ10,OUT010,292.36791892504647
FDW36,OUT017,1681.7148767025128
FDW21,OUT010,194.77447858068018
FDY19,OUT017,1981.2189631067367
DRE03,OUT013,703.6726683160875
NCC55,OUT049,682.6865273778712
FDH52,OUT010,145.6908568624461
FDO09,OUT017,4145.049504527357
FDU43,OUT045,3964.195475513289
FDX09,OUT010,384.97693258596155
FDH40,OUT019,234.7489767982787
FDW58,OUT017,1629.8364366310934
FDC47,OUT017,3976.0281922014155
NCR41,OUT035,1562.2573839047268
DRG49,OUT035,4153.717326589254
FDC52,OUT027,4114.519419765236
FDY13,OUT046,1244.1448101146082
FDY35,OUT013,659.9407557179411
FDI35,OUT017,3427.7155384006933
NCU18,OUT049,2265.8699522162356
FDY33,OUT018,2438.605311891397
FDC15,OUT027,3548.8491880178062
FDU01,OUT049,3093.574677623336
NCU42,OUT046,3061.4598252223923
NCV29,OUT018,2751.9512507677596
NCY30,OUT017,3158.3591834647373
FDQ46,OUT049,1714.3060309496452
FDG58,OUT027,4265.238717409168
FDK33,OUT017,4005.0058765415224
NCD07,OUT045,1658.5108974768466
NCX29,OUT027,3997.7826438131237
NCT42,OUT013,2272.360393967826
DRN59,OUT035,768.10529378484
FDI44,OUT035,1255.7241928602014
FDA45,OUT049,2194.00266633898
FDP31,OUT045,958.1563454456322
FDY01,OUT046,1980.1634752536204
FDT09,OUT018,1888.9150938246464
DRH03,OUT027,2354.590403607369
FDA36,OUT018,2706.393921674206
NCF31,OUT017,2339.6212109946287
FDG14,OUT049,2365.3591277812293
FDG28,OUT027,6573.529398985745
FDU14,OUT049,4096.772343762024
FDY47,OUT019,288.94478366629306
FDI56,OUT049,1354.9064617315794
DRD01,OUT013,689.8574357379955
FDM22,OUT046,897.4908090258556
FDH33,OUT013,634.5795717864385
DRZ24,OUT013,1917.9578992423878
NCQ38,OUT046,1688.9495669103749
FDO16,OUT027,2353.0622601089954
FDU07,OUT027,3725.242234945303
NCB07,OUT013,2947.0705495566335
FDU48,OUT045,1851.484993649422
NCM43,OUT045,2747.153006460119
FDR31,OUT010,318.07329276702376
DRK49,OUT018,438.6574623493836
NCI30,OUT010,619.2376681096073
DRD60,OUT017,3229.1381083335227
NCG19,OUT046,3358.0483544914828
FDH12,OUT035,1683.456861536091
FDM32,OUT035,1471.8987770842305
FDM27,OUT035,2762.4030482070903
NCU53,OUT027,4422.922459057364
NCQ18,OUT046,1616.5281365470569
FDS10,OUT013,2876.9994226209756
FDB33,OUT027,4362.383990954831
FDI12,OUT013,1334.598094961532
NCW42,OUT013,3802.9729692152305
NCC06,OUT018,2019.744077050414
FDW02,OUT017,2123.98886517331
NCD43,OUT017,1680.9475411257756
FDM57,OUT018,1215.7957726156756
FDA58,OUT017,3785.3302178501826
FDK56,OUT046,3289.3465788612475
FDP52,OUT045,4022.4282288376753
FDW20,OUT018,1990.716706618435
FDS52,OUT049,1600.783631174815
NCT29,OUT018,1810.8428845299109
NCL54,OUT013,2881.51741947664
FDC05,OUT045,2940.5890632626256
FDF34,OUT035,2954.6234170369316
FDP03,OUT027,3286.657705112659
FDD32,OUT010,180.51361946624084
FDZ10,OUT045,1861.3114475345574
FDZ40,OUT035,847.1970645946238
FDD51,OUT018,476.20181421838356
NCY30,OUT019,401.5031133123641
FDP58,OUT017,3483.4918483069346
FDV49,OUT017,4378.053460386487
FDY24,OUT019,141.19148295578395
NCO55,OUT017,1705.0898305178434
FDR13,OUT017,1809.4901966662987
FDS51,OUT017,938.3034491651592
FDP26,OUT045,1548.4725305631396
NCB54,OUT027,4237.838060797055
FDF32,OUT017,3144.0055453396885
FDN31,OUT018,2941.213142592314
DRM48,OUT017,702.6326460410555
FDN20,OUT049,2879.660555692693
DRL01,OUT046,3864.4362623330853
FDV56,OUT049,1661.3937422724723
DRH13,OUT027,2630.926391692313
FDA03,OUT017,2535.0752675515296
FDF47,OUT027,5601.222532399252
FDX32,OUT046,2758.2484609426406
FDX57,OUT049,1595.5135601438396
NCA30,OUT045,2974.227166705454
FDO49,OUT013,694.9167791329106
FDL04,OUT019,228.66853841217613
DRM48,OUT035,718.2013293693606
FDR16,OUT013,3869.4006140471015
NCC19,OUT018,3116.6514652263413
NCE42,OUT045,3513.5119009608406
FDY24,OUT017,941.6687598493941
FDH19,OUT049,2730.9652170277463
FDJ46,OUT013,2758.8831517721187
FDN45,OUT010,674.9629204026857
FDY08,OUT035,2237.3597236787523
FDZ37,OUT035,1361.399640513655
NCT30,OUT045,750.9134333165717
DRY23,OUT018,501.7992802087602
NCZ30,OUT018,1825.0043859084371
FDC44,OUT018,1776.1328752322268
FDB45,OUT035,1632.2024711375236
FDY04,OUT013,2532.016856752886
FDM27,OUT046,2704.322292618896
FDZ43,OUT017,4026.8320738882153
FDT39,OUT019,383.5013747284595
NCC06,OUT019,301.2667542098281
FDL15,OUT027,4154.954536232451
FDL57,OUT017,4543.570490079254
FDU08,OUT046,1537.7608096438923
FDK40,OUT017,4332.907903401276
FDQ12,OUT010,546.7445697979368
FDS48,OUT017,2597.0521525068116
FDP09,OUT045,3756.0619312447907
FDW21,OUT049,1676.546369705473
FDY25,OUT035,3246.33578391014
DRE13,OUT017,1426.8643825047998
FDV43,OUT019,61.51313413013573
FDD22,OUT045,1731.5732550999196
FDM46,OUT019,296.0303153466284
NCO30,OUT010,523.7076032385473
FDM25,OUT046,2738.7626438019397
NCN41,OUT049,2054.834756310834
FDU24,OUT045,1620.5380995149267
FDZ50,OUT046,3198.685658061398
FDP45,OUT013,4016.4357747198455
NCM54,OUT045,1878.2301649928877
FDW10,OUT019,362.7021578640085
FDP20,OUT017,2000.4744147336273
FDK32,OUT046,2619.3724768902835
FDN52,OUT049,1313.9053571038994
FDM58,OUT045,1689.5317645066316
FDZ46,OUT027,2951.67473275742
NCA18,OUT018,1686.1915239968573
FDD35,OUT046,2191.2932581840464
NCK31,OUT035,709.4562122526285
FDI40,OUT027,2866.254376632722
FDT50,OUT019,241.35575160482347
NCT06,OUT046,2723.7005770414685
FDT31,OUT035,2971.70767776122
FDT45,OUT049,820.5780181852715
