Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1869.708959859708
FDW14,OUT017,1609.7501652745514
NCN55,OUT010,1842.9170632080459
FDQ58,OUT017,2579.9219142892116
FDY38,OUT027,5077.739914897567
FDH56,OUT046,1938.077850708514
FDL48,OUT018,668.4245040677096
FDC48,OUT027,2799.2585031996896
FDN33,OUT045,1547.761046385318
FDA36,OUT017,3055.1840007626797
FDT44,OUT017,2007.0380939567456
FDQ56,OUT045,1359.451187728012
NCC54,OUT019,1811.930586039041
FDU11,OUT049,2064.0927860111738
DRL59,OUT013,955.5406856425518
FDM24,OUT049,2542.0353056069926
FDI57,OUT045,3049.68529701047
DRC12,OUT018,2721.850129066834
NCM42,OUT027,3190.097720713852
FDA46,OUT010,1132.3908860366146
FDA31,OUT013,2779.7427432889167
NCJ31,OUT035,3791.3952412626613
FDG52,OUT046,867.96547474348
NCL19,OUT019,401.78534196454905
FDS10,OUT035,2987.9879184177735
FDX22,OUT010,1455.590762414863
NCF19,OUT035,988.5606367722071
NCE06,OUT046,2516.9360850769185
DRC27,OUT046,3761.983203291345
FDE21,OUT035,2043.1405046370369
NCR42,OUT019,1243.2952219139966
FDX51,OUT018,2835.374064312401
NCR06,OUT018,509.7161879466008
FDU31,OUT027,4861.43539141158
FDU59,OUT017,2692.870194950774
FDR03,OUT027,4678.807714694169
FDS49,OUT027,2770.2264437554395
FDD48,OUT010,3.5841343324544823
NCF18,OUT017,3074.245291161362
NCD43,OUT027,3100.4840552967244
NCD54,OUT018,1995.685583815901
FDY19,OUT010,26.493422834784155
NCY54,OUT017,2781.566337354102
NCL19,OUT018,2023.4374788037753
FDP23,OUT010,1523.7081685140029
FDC26,OUT013,1843.2546268705669
FDR14,OUT010,937.4013002640048
NCS41,OUT035,2992.668759489954
FDF41,OUT035,3960.614559363089
FDU34,OUT046,2006.5409348937126
DRH11,OUT046,980.3690925819747
FDM03,OUT013,1761.9871200975447
FDS31,OUT017,2994.427409513234
FDJ20,OUT017,2105.6260923649
FDV44,OUT027,4426.999999544154
FDG02,OUT049,3072.3689961929176
FDA09,OUT013,2876.4602078988123
FDT04,OUT013,753.2025402076521
FDL58,OUT019,2232.1225952126038
FDE52,OUT045,1491.1896065400972
FDW12,OUT035,2500.1756107275014
FDL51,OUT017,3493.747841219586
NCY42,OUT027,3662.899283024939
FDR07,OUT017,1693.8607153927933
FDN40,OUT045,2362.4388005937953
FDB35,OUT027,2963.0005259881955
FDA22,OUT017,2718.9629976369242
NCL06,OUT046,4018.2118812482336
FDI35,OUT013,2890.3351904149663
NCW42,OUT045,3358.094637053953
NCX06,OUT049,2908.8193145820806
FDC37,OUT027,3196.1810217353477
FDZ14,OUT018,1753.4290937683768
DRG49,OUT049,3866.151134348879
NCG06,OUT045,3880.185213925449
DRC36,OUT045,2698.03372386341
FDV21,OUT019,91.80342635564205
FDB53,OUT046,2340.791172259845
DRP47,OUT019,1971.8601270510394
FDA14,OUT013,2347.95043410445
DRC24,OUT035,2550.8660554097687
FDW21,OUT018,1444.6310396514232
NCH29,OUT046,1585.6772122179852
FDU58,OUT013,3046.650345740644
FDY27,OUT017,2910.080999136245
FDV56,OUT035,1972.3835752083246
FDT59,OUT046,3590.9231350379664
FDB23,OUT046,3557.1234554069865
FDR49,OUT045,768.7307786010772
FDB03,OUT010,1870.5518098119455
FDN39,OUT045,2602.8000583684534
FDX02,OUT027,4891.745232330783
FDQ16,OUT027,3187.6005073601536
FDU35,OUT018,1365.0974313593533
NCT29,OUT013,1978.6843501788549
FDZ27,OUT046,890.2093945223132
FDN57,OUT017,2347.9033882019503
FDA03,OUT018,2094.4273386898426
FDZ36,OUT045,2897.7759988605167
NCU05,OUT013,1373.528868950871
FDT39,OUT018,2191.211794246426
FDK60,OUT017,1736.7108123937705
FDZ25,OUT017,2824.3598126129446
FDG12,OUT046,2029.7293128527049
DRB01,OUT019,1100.2785625366773
NCC43,OUT027,5258.449345344541
FDX13,OUT019,1988.7806337297939
FDM22,OUT049,1090.2051603090026
FDJ03,OUT027,2345.799907990412
FDU14,OUT018,3601.2267165586145
FDB33,OUT010,668.2663534850104
FDP27,OUT046,2970.9081265178706
FDO38,OUT010,579.9999613317606
FDE28,OUT027,5041.7496899658445
FDO27,OUT035,1725.585602315245
DRL23,OUT027,3159.6386817966313
FDS28,OUT046,1026.7239703350547
FDX24,OUT013,1586.269466510164
FDZ02,OUT035,1781.8969442173614
FDL46,OUT045,1837.3489592306905
FDS60,OUT027,4241.692246569411
NCO06,OUT017,711.5777967811941
FDO16,OUT035,1575.1552526932317
FDC60,OUT049,1579.588545733715
FDA48,OUT018,3141.0214953330633
FDZ36,OUT027,4384.403191491679
FDK27,OUT045,1909.2947234989415
FDW23,OUT018,466.04107001726095
FDM14,OUT018,1539.9799751485868
FDM14,OUT013,1816.8005392150365
FDW60,OUT018,2584.8716235833267
FDE21,OUT013,1936.1035612872543
NCM42,OUT035,1908.260996132186
FDY59,OUT010,300.74316255477163
DRI49,OUT049,1401.275186015524
FDT28,OUT019,538.7102972571334
FDQ22,OUT018,489.0755319725871
FDR60,OUT049,1371.403583782761
FDC50,OUT019,337.00998461383176
FDV24,OUT013,2438.5512336316174
DRF48,OUT010,1077.3132929895814
FDQ47,OUT046,714.6919359927488
DRN36,OUT049,1678.227063030577
NCY06,OUT035,2179.788278341867
FDE52,OUT035,1682.0724058719711
NCB54,OUT045,1960.9596591433656
NCF31,OUT035,2540.3125412193695
FDJ08,OUT027,4381.820549915634
NCC07,OUT017,1818.4850058643658
NCD19,OUT027,2366.079408717279
FDL46,OUT049,2019.5625627142826
FDM20,OUT045,3760.4145357779807
NCI06,OUT010,942.0708255111632
DRM11,OUT035,4122.095311282115
NCH07,OUT018,2202.9393885161494
FDS23,OUT013,2097.3428786069967
FDO49,OUT018,671.3189088388973
FDS35,OUT049,1212.2216353747563
DRK39,OUT045,1307.9788451139746
DRI39,OUT049,1085.8683572318532
FDV04,OUT017,2623.9794600495034
NCN14,OUT035,2968.6836484758423
