Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1571.1590248052887
FDW14,OUT017,1456.4630183480417
NCN55,OUT010,575.2579918068985
FDQ58,OUT017,2498.1471528497577
FDY38,OUT027,5857.959792345333
FDH56,OUT046,1958.4027046531753
FDL48,OUT018,745.2690460340732
FDC48,OUT027,2169.2377859659623
FDN33,OUT045,1534.6053691781738
FDA36,OUT017,3060.6619279568895
FDT44,OUT017,1970.8237086029883
FDQ56,OUT045,1434.2601627072902
NCC54,OUT019,574.2537570100095
FDU11,OUT049,2013.1510317006337
DRL59,OUT013,845.888446188638
FDM24,OUT049,2487.365741301525
FDI57,OUT045,3103.8291346205947
DRC12,OUT018,3063.9762209753885
NCM42,OUT027,2899.5596040179416
FDA46,OUT010,506.2124113116445
FDA31,OUT013,2858.3982035469853
NCJ31,OUT035,3892.8929957844684
FDG52,OUT046,747.6803705430002
NCL19,OUT019,288.201773027003
FDS10,OUT035,3012.847996662364
FDX22,OUT010,567.3087821713433
NCF19,OUT035,744.4212278437259
NCE06,OUT046,2545.5974604627036
DRC27,OUT046,3906.4482407352534
FDE21,OUT035,1955.8626428950854
NCR42,OUT019,131.84467990263016
FDX51,OUT018,3063.9762209753885
NCR06,OUT018,664.7175062275222
FDU31,OUT027,5857.959792345333
FDU59,OUT017,2553.63622016114
FDR03,OUT027,5853.360686432463
FDS49,OUT027,2103.6136743891316
FDD48,OUT010,267.9129964735381
NCF18,OUT017,3063.9762209753885
NCD43,OUT027,2849.537388468956
NCD54,OUT018,2122.943994698377
FDY19,OUT010,267.9129964735381
NCY54,OUT017,2856.148142210092
NCL19,OUT018,2475.156733939359
FDP23,OUT010,575.2579918068985
FDC26,OUT013,1718.4007374370779
FDR14,OUT010,131.84467990263016
NCS41,OUT035,3057.9810046271245
FDF41,OUT035,3917.4202301628998
FDU34,OUT046,2015.9619612668375
DRH11,OUT046,979.8773693002436
FDM03,OUT013,1571.1590248052887
FDS31,OUT017,3024.567904326071
FDJ20,OUT017,2013.1510317006337
FDV44,OUT027,5149.916007297894
FDG02,OUT049,3060.6619279568895
FDA09,OUT013,2957.190652275118
FDT04,OUT013,710.4740958719034
FDL58,OUT019,574.2537570100095
FDE52,OUT045,1498.761188682818
FDW12,OUT035,2475.156733939359
FDL51,OUT017,3656.140736670823
NCY42,OUT027,3016.2455131500096
FDR07,OUT017,1534.6053691781738
FDN40,OUT045,2495.2699205492795
FDB35,OUT027,2737.338071483218
FDA22,OUT017,2557.3834970131134
NCL06,OUT046,4093.242017705915
FDI35,OUT013,3026.8466871161722
NCW42,OUT045,3771.4807666591305
NCX06,OUT049,2964.7051451809716
FDC37,OUT027,2873.2932813010675
FDZ14,OUT018,2013.1510317006337
DRG49,OUT049,3906.4482407352534
NCG06,OUT045,4051.6517190301965
DRC36,OUT045,2856.148142210092
FDV21,OUT019,282.69821377412956
FDB53,OUT046,2482.3433468541807
DRP47,OUT019,574.2537570100095
FDA14,OUT013,2480.1901555736185
DRC24,OUT035,2495.2699205492795
FDW21,OUT018,1562.147521393369
NCH29,OUT046,1534.6053691781738
FDU58,OUT013,3060.6619279568895
FDY27,OUT017,2868.7016608841245
FDV56,OUT035,1573.800571646457
FDT59,OUT046,3832.264358574707
FDB23,OUT046,3801.5698190801327
FDR49,OUT045,737.0986522489682
FDB03,OUT010,575.2579918068985
